Datum,Lufttemperatur,Kvalitet
2014-01-01,2.2,Y
2014-01-02,3.6,Y
2014-01-03,3.8,Y
2014-01-04,4.8,Y
2014-01-05,2.0,Y
2014-01-06,3.5,Y
2014-01-07,6.2,Y
2014-01-08,5.8,Y
2014-01-09,5.3,Y
2014-01-10,-0.4,Y
2014-01-11,-3.6,Y
2014-01-12,-7.7,Y
2014-01-13,-12.1,Y
2014-01-14,-6.2,Y
2014-01-15,-5.4,Y
2014-01-16,-5.8,Y
2014-01-17,-11.6,Y
2014-01-18,-7.0,Y
2014-01-19,-4.4,Y
2014-01-20,-7.5,Y
2014-01-21,-6.5,Y
2014-01-22,-9.3,Y
2014-01-23,-10.5,Y
2014-01-24,-5.8,Y
2014-01-25,-4.9,Y
2014-01-26,-4.1,Y
2014-01-27,-2.7,Y
2014-01-28,-1.9,Y
2014-01-29,-3.0,Y
2014-01-30,-3.9,Y
2014-01-31,-4.2,Y
2014-02-01,-0.9,Y
2014-02-02,1.3,Y
2014-02-03,1.6,Y
2014-02-04,0.5,Y
2014-02-05,-0.1,Y
2014-02-06,-0.0,Y
2014-02-07,1.6,Y
2014-02-08,1.9,Y
2014-02-09,2.4,Y
2014-02-10,2.5,Y
2014-02-11,0.7,Y
2014-02-12,1.1,Y
2014-02-13,0.9,Y
2014-02-14,1.5,Y
2014-02-15,1.7,Y
2014-02-16,3.9,Y
2014-02-17,3.4,Y
2014-02-18,-0.1,Y
2014-02-19,-1.1,Y
2014-02-20,-0.7,Y
2014-02-21,1.6,Y
2014-02-22,3.4,Y
2014-02-23,5.6,Y
2014-02-24,6.7,Y
2014-02-25,2.4,Y
2014-02-26,2.0,Y
2014-02-27,1.9,Y
2014-02-28,2.3,Y
2014-03-01,1.2,Y
2014-03-02,1.0,Y
2014-03-03,1.7,Y
2014-03-04,3.0,Y
2014-03-05,2.1,Y
2014-03-06,2.5,Y
2014-03-07,7.0,Y
2014-03-08,5.8,Y
2014-03-09,10.1,Y
2014-03-10,7.0,Y
2014-03-11,4.4,Y
2014-03-12,6.9,Y
2014-03-13,5.3,Y
2014-03-14,6.2,Y
2014-03-15,1.9,Y
2014-03-16,-1.7,Y
2014-03-17,2.1,Y
2014-03-18,-0.4,Y
2014-03-19,-2.0,Y
2014-03-20,4.3,Y
2014-03-21,8.5,Y
2014-03-22,4.5,Y
2014-03-23,3.2,Y
2014-03-24,1.0,Y
2014-03-25,1.8,Y
2014-03-26,2.4,Y
2014-03-27,4.2,Y
2014-03-28,3.1,Y
2014-03-29,4.0,Y
2014-03-30,5.0,Y
2014-03-31,1.7,Y
2014-04-01,0.2,Y
2014-04-02,0.8,Y
2014-04-03,2.3,Y
2014-04-04,-0.1,Y
2014-04-05,3.8,Y
2014-04-06,6.5,Y
2014-04-07,7.5,Y
2014-04-08,4.7,Y
2014-04-09,2.8,Y
2014-04-10,2.7,Y
2014-04-11,5.7,Y
2014-04-12,6.0,Y
2014-04-13,8.4,Y
2014-04-14,6.2,Y
2014-04-15,6.8,Y
2014-04-16,5.3,Y
2014-04-17,9.6,Y
2014-04-18,7.3,Y
2014-04-19,7.2,Y
2014-04-20,9.2,Y
2014-04-21,9.9,Y
2014-04-22,10.0,Y
2014-04-23,6.2,Y
2014-04-24,4.4,Y
2014-04-25,5.8,Y
2014-04-26,8.0,Y
2014-04-27,11.4,Y
2014-04-28,12.7,Y
2014-04-29,8.2,Y
2014-04-30,6.0,Y
2014-05-01,3.0,Y
2014-05-02,4.6,Y
2014-05-03,5.1,Y
2014-05-04,4.3,Y
2014-05-05,4.2,Y
2014-05-06,3.4,Y
2014-05-07,5.0,Y
2014-05-08,5.4,Y
2014-05-09,8.0,Y
2014-05-10,6.6,Y
2014-05-11,8.2,Y
2014-05-12,8.5,Y
2014-05-13,9.6,Y
2014-05-14,7.8,Y
2014-05-15,8.0,Y
2014-05-16,13.3,Y
2014-05-17,15.1,Y
2014-05-18,14.7,Y
2014-05-19,12.5,Y
2014-05-20,14.6,Y
2014-05-21,17.2,Y
2014-05-22,19.9,Y
2014-05-23,20.8,Y
2014-05-24,20.3,Y
2014-05-25,18.7,Y
2014-05-26,13.9,Y
2014-05-27,8.7,Y
2014-05-28,7.7,Y
2014-05-29,10.6,Y
2014-05-30,10.5,Y
2014-05-31,12.2,Y
2014-06-01,13.4,Y
2014-06-02,13.4,Y
2014-06-03,11.4,Y
2014-06-04,13.2,Y
2014-06-05,15.8,Y
2014-06-06,15.2,Y
2014-06-07,13.7,Y
2014-06-08,17.9,Y
2014-06-09,19.3,Y
2014-06-10,19.3,Y
2014-06-11,17.8,Y
2014-06-12,16.1,Y
2014-06-13,13.4,Y
2014-06-14,12.5,Y
2014-06-15,14.3,Y
2014-06-16,14.0,Y
2014-06-17,11.5,Y
2014-06-18,15.1,Y
2014-06-19,11.6,Y
2014-06-20,9.8,Y
2014-06-21,9.9,Y
2014-06-22,9.4,Y
2014-06-23,8.4,Y
2014-06-24,13.1,Y
2014-06-25,11.1,Y
2014-06-26,12.4,Y
2014-06-27,10.9,Y
2014-06-28,12.0,Y
2014-06-29,14.3,Y
2014-06-30,12.8,Y
